========================================================================================================================
📊 JORNADA 1 - RESULTADOS COMPLETOS
========================================================================================================================

Total jugadores procesados: 151

🏆 CLASIFICACIÓN COMPLETA:

#    | JUGADOR                        | EQUIPO               | POS        | MIN | GOL | AST | NOTA  | PTS
------------------------------------------------------------------------------------------------------------------------
122  | Élie Youan                     | Hibernian            | Delantero  | 10  | 0   | 0   | 6.5   | 3
123  | Josh Mulligan                  | Hibernian            | Delantero  | 57  | 0   | 0   | 6.2   | 3
124  | Aaron Donnelly                 | Hibernian            | Delantero  | 10  | 0   | 0   | 6.4   | 3
125  | Drey Wright                    | Hibernian            | Delantero  | 10  | 0   | 0   | 6.6   | 3
126  | César Garza                    | Hibernian            | Delantero  | 5   | 0   | 0   | 6.5   | 3
127  | Tony Yogane                    | Hibernian            | Delantero  | 10  | 0   | 0   | 6.4   | 3
128  | Auston Trusty                  | St. Mirren           | Delantero  | 25  | 0   | 0   | 6.8   | 3
129  | Hyun-jun Yang                  | St. Mirren           | Delantero  | 59  | 0   | 0   | 6.5   | 3
130  | Johnny Kenny                   | St. Mirren           | Delantero  | 12  | 0   | 0   | 6.5   | 3
131  | Arne Engels                    | St. Mirren           | Delantero  | 12  | 0   | 0   | 6.4   | 3
132  | James Forrest                  | St. Mirren           | Delantero  | 31  | 0   | 0   | 6.8   | 3
133  | Roland Idowu                   | St. Mirren           | Delantero  | 79  | 0   | 0   | 6.6   | 3
134  | Oisin Smyth                    | St. Mirren           | Delantero  | 11  | 0   | 0   | 6.4   | 3
135  | Jonah Ayunga                   | St. Mirren           | Delantero  | 44  | 0   | 0   | 6.7   | 3
136  | Tunmise Sobowale               | St. Mirren           | Delantero  | 11  | 0   | 0   | 6.5   | 3
137  | Fraser Taylor                  | St. Mirren           | Delantero  | 46  | 0   | 0   | 6.3   | 3
138  | Evan Mooney                    | St. Mirren           | Delantero  | 11  | 0   | 0   | 6.4   | 3
139  | Rory McKenzie                  | Livingston           | Delantero  | 22  | 0   | 0   | 6.0   | 2
140  | Lyall Cameron                  | Rangers              | Delantero  | 27  | 0   | 0   | 6.5   | 2
141  | Calvin Miller                  | Dundee United        | Delantero  | 75  | 0   | 0   | 6.4   | 2
142  | Alasana Manneh                 | Hibernian            | Delantero  | 10  | 0   | 0   | 6.4   | 2
143  | Martin Boyle                   | Hibernian            | Delantero  | 80  | 0   | 0   | 6.0   | 2
144  | Junior Hoilett                 | Hibernian            | Delantero  | 57  | 0   | 0   | 6.4   | 2
145  | Ethan Ingram                   | Hibernian            | Delantero  | 80  | 0   | 0   | 6.2   | 2
146  | Adam Idah                      | St. Mirren           | Delantero  | 78  | 0   | 0   | 6.0   | 2
147  | Bruce Anderson                 | Livingston           | Delantero  | 29  | 0   | 0   | 6.4   | 1
148  | Graham Carey                   | Livingston           | Delantero  | 46  | 0   | 0   | 6.6   | 1
149  | Kofi Balmer                    | Rangers              | Delantero  | 1   | 0   | 0   | 0.0   | 1
150  | Tawanda Maswanhise             | Rangers              | Delantero  | 90  | 0   | 0   | 6.1   | 1
151  | M. Dijksteel                   | St. Mirren           | Delantero  | 1   | 0   | 0   | 0.0   | 1

========================================================================================================================
📈 ESTADÍSTICAS:
   - Puntos totales: 795
   - Promedio: 5.26
   - Máximo: 17 (Panutche Camara)
   - Mínimo: 1 (M. Dijksteel)
