sportmonks_id,name,position,position_id,team,age,nationality
586846,Derek Cornelius,DEF,25,Rangers,29,
37587573,Youssef Chermiti,DEF,27,Rangers,22,
378239,Kieran Wright,GK,24,Rangers,27,
37577459,Emmanuel Fernandez,DEF,25,Rangers,25,
2875852,Rabbi Matondo,DEF,27,Rangers,26,
198736,Nedim Bajrami,DEF,26,Rangers,27,
5270463,Danilo,DEF,27,Rangers,27,
2158212,Nicolas Raskin,DEF,26,Rangers,25,
24817485,Connor Barron,DEF,26,Rangers,24,
174066,Liam Kelly,GK,24,Rangers,30,
37595805,Clinton Nsiala,DEF,25,Rangers,22,
172581,John Souttar,DEF,25,Rangers,30,
1462,Jack Butland,GK,24,Rangers,33,
16136386,Oliver Antman,DEF,27,Rangers,25,
37391576,Thelo Aasgaard,DEF,26,Rangers,24,
37651099,Mikey Moore,DEF,27,Rangers,19,
37614062,Jayden Meghoma,DEF,25,Rangers,20,
537665,Dujon Sterling,DEF,25,Rangers,27,
37602126,Bailey Rice,DEF,26,Rangers,20,
37434598,Mohamed Diomandé,DEF,26,Rangers,25,
1494663,Max Aarons,DEF,25,Rangers,26,
4361,Connor Randall,DEF,25,Ross County,31,
18151,Jordan White,DEF,27,Ross County,34,
9654,Akil Wright,DEF,25,Ross County,30,
28912972,Bradley Foster,GK,24,Ross County,25,
37619579,Len O'Sullivan,DEF,25,Ross County,23,
37646939,Ben Crompton,DEF,25,Ross County,23,
9464,Nicky Clark,DEF,27,Ross County,35,
173508,Jamie Lindsay,DEF,26,Ross County,31,
35683626,Dean Cornelius,DEF,26,Ross County,25,
173738,Ross Laidlaw,GK,24,Ross County,34,
37610428,Levis Pitan,DEF,25,Ross County,21,
37260704,Josh Reid,DEF,25,Ross County,24,
32422779,Jay Henderson,DEF,26,Ross County,24,
174235,Sean Mackie,DEF,25,Ross County,28,
37588655,Miller Thomson,DEF,27,Ross County,22,
657,Trevor Carson,GK,24,Ross County,38,
37342601,Ryan Duncan,DEF,26,Ross County,22,
37642287,Dylan Smith,DEF,25,Ross County,20,
25591488,Noah Chilvers,DEF,26,Ross County,25,
23739095,Jack Burroughs,DEF,25,Ross County,25,
378719,James Scott,DEF,27,Ross County,26,
6429,Alex Iacovitti,DEF,25,Ross County,29,
173809,Ross Docherty,DEF,26,Ross County,33,
23279212,Kieran Phillips,DEF,27,Ross County,26,
172623,Declan Gallagher,DEF,25,Ross County,35,
172505,Gary Mackay-Steven,DEF,26,Ross County,36,
148853,Conor McMenamin,DEF,27,St. Mirren,31,
173056,A. Campbell,DEF,26,St. Mirren,28,
8846,Scott Tanser,DEF,25,St. Mirren,32,
1233,Declan John,DEF,25,St. Mirren,31,
23739094,Kion Etete,DEF,27,St. Mirren,25,
37532070,J. Young,DEF,27,St. Mirren,25,
581122,Dan N'Lundulu,DEF,27,St. Mirren,27,
172748,Marcus Fraser,DEF,25,St. Mirren,32,
7160,Liam Donnelly,DEF,26,St. Mirren,30,
37255845,Jayden Richardson,DEF,25,St. Mirren,26,
37736707,Evan Mooney,DEF,27,St. Mirren,19,
37580336,Fraser Taylor,DEF,26,St. Mirren,23,
172600,Mark O'Hara,DEF,26,St. Mirren,31,
3169834,Ryan Mullen,GK,24,St. Mirren,25,
4417,Mikael Mandron,DEF,27,St. Mirren,32,
749968,K. Baccus,DEF,26,St. Mirren,28,
37623431,Jalmaro Calvin,DEF,27,St. Mirren,23,
182498,Peter Urminsky,GK,24,St. Mirren,27,
364593,Tunmise Sobowale,DEF,25,St. Mirren,27,
752052,Shamal George,GK,24,St. Mirren,28,
37673148,Miguel Freckleton,DEF,25,St. Mirren,23,
9781,Alex Gogic,DEF,25,St. Mirren,32,
37555366,M. Dijksteel,DEF,27,St. Mirren,25,
430377,Jonah Ayunga,DEF,27,St. Mirren,29,
28912754,Roland Idowu,DEF,26,St. Mirren,24,
37529807,Killian Phillips,DEF,26,St. Mirren,24,
37575363,Richard King,DEF,25,St. Mirren,25,
172895,Liam Smith,DEF,25,St. Johnstone,30,
37537884,Unknown,DEF,27,St. Johnstone,,
37540836,Kai Fotheringham,DEF,27,St. Johnstone,23,
3187707,Alfie Agyeman,DEF,27,St. Johnstone,26,
37720392,F. Franczak,DEF,26,St. Johnstone,19,
37580310,T. Steven,DEF,27,St. Johnstone,22,
38202027,Unknown,DEF,27,St. Johnstone,,
24817504,Reece McAlear,DEF,26,St. Johnstone,24,
52670,S. Sprangler,DEF,26,St. Johnstone,31,
37633251,Aaron Essel,DEF,26,St. Johnstone,21,
3574,J. Holt,DEF,26,St. Johnstone,33,
32422759,J. McPake,DEF,26,St. Johnstone,25,
172945,Stevie Mallan,DEF,26,St. Johnstone,30,
37330644,Unknown,DEF,25,St. Johnstone,,
37591312,Unknown,GK,24,St. Johnstone,,
9435,Unknown,DEF,25,St. Johnstone,,
37663257,Adam Forrester,DEF,25,St. Johnstone,21,
9266,Uche Ikpeazu,DEF,27,St. Johnstone,31,
378926,R. Sinclair,GK,24,St. Johnstone,25,
193157,J. Svedberg,DEF,26,St. Johnstone,27,
74054,B. Mikulić,DEF,25,St. Johnstone,29,
523889,V. Griffith,DEF,26,St. Johnstone,26,
172944,Jack Baird,DEF,25,St. Johnstone,30,
172692,Sam Stanton,DEF,26,St. Johnstone,32,
3169884,Jamie Gullan,DEF,27,St. Johnstone,27,
173698,Reghan Tumilty,DEF,25,St. Johnstone,29,
12759173,Morgan Boyes,DEF,25,St. Johnstone,25,
